    Course Code                                             Course Name                                                  Instructor Name
116      MA 811                                              Algebra I                                                               NaN
117      MA 812                                             Algebra II                                               Ronnie M. Sebastain
118      MA 813                                         Measure Theory                                                               NaN
119      MA 814                                       Complex Analysis                                                    Prachi Mahajan
120      MA 815                                  Differential Topology                                                               NaN
121      MA 816                                     Algebraic Topology                                                  Dipendra  Prasad
122      MA 817                       Partial Differential Equations I                                                               NaN
123      MA 818                      Partial Differential Equations II                                                 Mayukh  Mukherjee
124      MA 819                 Weak Convergence and Martingale Theory                                                               NaN
125      MA 820                                   Stochastic Processes                                                               NaN
126      MA 821                                   Theory of Estimation                                                               NaN
127      MA 822                                  Testing of Hypothesis                                                               NaN
128      MA 824                                    Functional Analysis                                                      Sanjoy Pusti
129      MA 825                                                Algebra                                                               NaN
130      MA 826                                               Topology                                                               NaN
131      MA 827                                             Analysis I                                                               NaN
132      MA 828                                    Functional Analysis                                                               NaN
133      MA 829                                   Mathematical Methods                                                               NaN
134      MA 830                                     Numerical Analysis                                                               NaN
135      MA 831                                        Fluid Mechanics                                                               NaN
136      MA 832                                             Elasticity                                                               NaN
137      MA 833                 Weak Convergance and Martingale Theory                                                               NaN
138      MA 834                        Theory of Testing of Hypotheses                                                               NaN
139      MA 835                                   Theory of Estimation                                                               NaN
140      MA 836             Asymptotic Theory of Statistical Inference                                                               NaN
141      MA 837                        Special Topics in Mathematics I                                                               NaN
142      MA 838                       Special Topics in Mathematics II                                                               NaN
143      MA 842                                   Topics in Algebra II                                           Ananthnarayan Hariharan
144      MA 843                                   Topics in Analysis I                                                               NaN
145      MA 844                                  Topics in Analysis II                                                               NaN
146      MA 846                             Topics in Combinatories II                                                   Srinivasan M.K.
147      MA 848                                  Topics in Geometry II                                                               NaN
148      MA 850                                  Topics in Topology II                                                               NaN
149      MA 852                             Topics in Number Theory II                                                  Ravi Raghunathan
150      MA 854                    Topics in Differential Equations II                                                               NaN
151      MA 856                        Topics in Numerical Analysis II                                                               NaN
152      MA 858                               Topics in Probability II                                                               NaN
153      MA 860                                Topics in Statistics II                                                               NaN
154      MA 861                                        Combinatorics I                                                               NaN
155      MA 899                                   Communication Skills                                                               NaN
156      MAS801                                                Seminar                                                               NaN
157      MAS802                                                Seminar                                                               NaN
